district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-08e1fc1655,ESKİŞEHİR,SARICAKAYA,382,1.0,365
TR-76d269e4cc,ESKİŞEHİR,SEYİTGAZİ,1578,1.0,365
TR-3c148619d5,ESKİŞEHİR,SİVRİHİSAR,2748,1.0,365
TR-657ae6a220,ESKİŞEHİR,TEPEBAŞI,1403,1.0,365
TR-1c8e38ee82,ESKİŞEHİR,ÇİFTELER,858,1.0,365
TR-2bdadccaab,ESKİŞEHİR,İNÖNÜ,345,1.0,365
TR-8273cfb383,GAZİANTEP,ARABAN,592,3.0,365
TR-0257d507d5,GAZİANTEP,KARKAMIŞ,298,3.0,365
TR-a9e3567a2b,GAZİANTEP,NURDAĞI,697,3.0,365
TR-0abc3cedc9,GAZİANTEP,NİZİP,944,3.0,365
TR-6c3f755ce2,GAZİANTEP,OĞUZELİ,689,3.0,365
TR-5afecd9d07,GAZİANTEP,YAVUZELİ,468,3.0,365
TR-b4ce7e9736,GAZİANTEP,İSLAHİYE,865,3.0,365
TR-cee84e0ebf,GAZİANTEP,ŞAHİNBEY,960,3.0,365
TR-ed1cdd7128,GAZİANTEP,ŞEHİTKAMİL,1290,3.0,365
TR-6c1f87d240,GÜMÜŞHANE,GÜMÜŞHANE,0,5.0,365
TR-9b4ccfb744,GÜMÜŞHANE,KELKİT,1571,5.0,365
TR-40e95a47e3,GÜMÜŞHANE,KÖSE,353,5.0,365
TR-76ee26a566,GÜMÜŞHANE,KÜRTÜN,917,5.0,365
TR-5e600a2524,GÜMÜŞHANE,TORUL,973,5.0,365
TR-5571da1c6d,GÜMÜŞHANE,ŞİRAN,965,5.0,365
TR-5aebe70bb0,GİRESUN,ALUCRA,1138,5.0,365
TR-319f868bc3,GİRESUN,BULANCAK,721,5.0,365
TR-77c87a8cc5,GİRESUN,DERELİ,849,5.0,365
TR-6224631142,GİRESUN,DOĞANKENT,110,5.0,365
TR-9a4236a367,GİRESUN,ESPİYE,248,5.0,365
TR-6cf532233e,GİRESUN,EYNESİL,51,5.0,365
TR-4753f39afb,GİRESUN,GÖRELE,237,5.0,365
TR-5163a5d4a6,GİRESUN,GÜCE,351,5.0,365
TR-6d6eec7aeb,GİRESUN,GİRESUN,0,5.0,365
TR-b7614f4c5b,GİRESUN,KEŞAP,197,5.0,365
TR-0d2af3b14a,GİRESUN,PİRAZİZ,127,5.0,365
TR-055c0de75f,GİRESUN,TİREBOLU,259,5.0,365
TR-94a943807f,GİRESUN,YAĞLIDERE,327,5.0,365
TR-348bf62d6b,GİRESUN,ÇAMOLUK,444,5.0,365
TR-dec4608cd9,GİRESUN,ÇANAKÇI,142,5.0,365
TR-59d17e4c81,GİRESUN,ŞEBİNKARAHİSAR,1396,5.0,365
TR-cee5e5c2a0,HAKKARİ,HAKKARİ,0,6.0,365
TR-11bb92ea92,HAKKARİ,YÜKSEKOVA,0,6.0,365
